file,N,Y,Yl,Yh
cnf/sundermann/systems_software/grg/Knüppel2017.cnf, 10000, 2.09483e+125, 3.21346e+124, 3.86832e+125
cnf/sundermann/systems_software/vrc4373/Berger2013.cnf, 10000, 1.82053e+131, -3.48457e+130, 3.98951e+131
cnf/sundermann/systems_software/vrc4373/Knüppel2017.cnf, 10000, 8.6468e+131, -5.1316e+131, 2.24252e+132
cnf/sundermann/systems_software/h8s_sim/Berger2013.cnf, 10000, 1.11866e+119, -1.14382e+119, 3.38113e+119
cnf/sundermann/systems_software/h8s_sim/Knüppel2017.cnf, 10000, 3.46221e+118, -5.98138e+117, 7.52255e+118
cnf/sundermann/systems_software/pc_usb_d12/Berger2013.cnf, 10000, 3.22482e+128, -8.08912e+127, 7.25856e+128
cnf/sundermann/systems_software/pc_usb_d12/Knüppel2017.cnf, 10000, 1.70823e+128, -8.45519e+127, 4.26197e+128
cnf/sundermann/systems_software/psim/Berger2013.cnf, 10000, 2.96698e+120, 3.53553e+119, 5.58041e+120
cnf/sundermann/systems_software/psim/Knüppel2017.cnf, 10000, 2.18029e+120, -9.01079e+119, 5.26166e+120
cnf/sundermann/systems_software/eb40/Berger2013.cnf, 10000, 1.09874e+125, -7.19598e+124, 2.91708e+125
cnf/sundermann/systems_software/eb40/Knüppel2017.cnf, 10000, 3.72389e+123, -1.59894e+123, 9.04673e+123
cnf/sundermann/systems_software/gps4020/Berger2013.cnf, 10000, 8.6357e+121, 1.62809e+121, 1.56433e+122
cnf/sundermann/systems_software/gps4020/Knüppel2017.cnf, 10000, 2.19768e+121, -1.05974e+121, 5.45509e+121
cnf/sundermann/systems_software/integrator_arm9/Berger2013.cnf, 10000, 1.6397e+129, -1.23113e+129, 4.51053e+129
cnf/sundermann/systems_software/integrator_arm9/Knüppel2017.cnf, 10000, 2.60773e+130, -3.45258e+130, 8.66804e+130
cnf/sundermann/systems_software/ocelot/Berger2013.cnf, 10000, 3.6874e+133, -2.29625e+133, 9.67104e+133
cnf/sundermann/systems_software/ocelot/Knüppel2017.cnf, 10000, 2.70973e+133, -9.84919e+132, 6.40439e+133
cnf/sundermann/systems_software/m5272c3/Berger2013.cnf, 10000, 1.36069e+125, -5.10213e+124, 3.2316e+125
cnf/sundermann/systems_software/m5272c3/Knüppel2017.cnf, 10000, 1.48937e+119, -1.39963e+119, 4.37838e+119
cnf/sundermann/systems_software/olpce2294/Berger2013.cnf, 10000, 1.61165e+127, -1.07611e+127, 4.29941e+127
cnf/sundermann/systems_software/olpce2294/Knüppel2017.cnf, 10000, 1.35177e+126, -9.99106e+125, 3.70264e+126
cnf/sundermann/systems_software/flexanet/Berger2013.cnf, 10000, 3.50504e+126, -3.87082e+126, 1.08809e+127
cnf/sundermann/systems_software/flexanet/Knüppel2017.cnf, 10000, 1.92687e+126, -9.03851e+125, 4.75759e+126
cnf/sundermann/systems_software/cme555/Berger2013.cnf, 10000, 6.72398e+131, 1.12714e+130, 1.33352e+132
cnf/sundermann/systems_software/cme555/Knüppel2017.cnf, 10000, 1.07894e+132, 1.76164e+131, 1.98171e+132
cnf/sundermann/systems_software/mb93093/Berger2013.cnf, 10000, 2.52892e+129, -1.11841e+129, 6.17624e+129
cnf/sundermann/systems_software/mb93093/Knüppel2017.cnf, 10000, 1.33227e+128, -5.3874e+126, 2.71842e+128
cnf/sundermann/systems_software/skmb91302/Berger2013.cnf, 10000, 3.47115e+128, -3.01096e+128, 9.95326e+128
cnf/sundermann/systems_software/skmb91302/Knüppel2017.cnf, 10000, 1.81419e+129, -2.39774e+129, 6.02611e+129
cnf/sundermann/systems_software/malta_mips32_4kc/Berger2013.cnf, 10000, 9.46088e+125, -6.72816e+125, 2.56499e+126
cnf/sundermann/systems_software/malta_mips32_4kc/Knüppel2017.cnf, 10000, 1.93776e+126, -2.50669e+126, 6.38221e+126
cnf/sundermann/systems_software/pati/Berger2013.cnf, 10000, 1.72729e+126, 1.4758e+125, 3.30699e+126
cnf/sundermann/systems_software/pati/Knüppel2017.cnf, 10000, 1.01919e+126, 2.91273e+125, 1.7471e+126
cnf/sundermann/systems_software/phycore/Berger2013.cnf, 10000, 2.09109e+134, -2.65469e+134, 6.83687e+134
cnf/sundermann/systems_software/phycore/Knüppel2017.cnf, 10000, 4.25816e+132, -3.15934e+131, 8.83225e+132
cnf/sundermann/systems_software/adder/Berger2013.cnf, 10000, 5.40586e+123, -6.82361e+123, 1.76353e+124
cnf/sundermann/systems_software/adder/Knüppel2017.cnf, 10000, 4.11089e+124, -1.25681e+124, 9.4786e+124
cnf/sundermann/systems_software/cq7750/Berger2013.cnf, 10000, 5.0176e+129, -5.65166e+129, 1.56868e+130
cnf/sundermann/systems_software/cq7750/Knüppel2017.cnf, 10000, 4.82577e+128, -3.52172e+127, 1.00037e+129
cnf/sundermann/systems_software/adderII/Berger2013.cnf, 10000, 1.96121e+124, -2.62394e+123, 4.18481e+124
cnf/sundermann/systems_software/adderII/Knüppel2017.cnf, 10000, 3.18607e+125, -2.38318e+125, 8.75531e+125
cnf/sundermann/systems_software/frv400/Berger2013.cnf, 10000, 6.04219e+130, -2.98538e+130, 1.50698e+131
cnf/sundermann/systems_software/frv400/Knüppel2017.cnf, 10000, 5.66207e+131, -6.41712e+131, 1.77413e+132
cnf/sundermann/systems_software/atlas_mips64_5kc/Berger2013.cnf, 10000, 2.74489e+122, 5.41238e+121, 4.94855e+122
cnf/sundermann/systems_software/atlas_mips64_5kc/Knüppel2017.cnf, 10000, 1.55525e+122, -9.48384e+120, 3.20535e+122
cnf/sundermann/systems_software/mbx/Berger2013.cnf, 10000, 6.57841e+133, -1.09614e+133, 1.4253e+134
cnf/sundermann/systems_software/mbx/Knüppel2017.cnf, 10000, 3.33097e+131, -1.11961e+131, 7.78155e+131
cnf/sundermann/systems_software/prpmc1100/Berger2013.cnf, 10000, 3.70383e+123, -7.35494e+122, 8.14315e+123
cnf/sundermann/systems_software/prpmc1100/Knüppel2017.cnf, 10000, 1.05517e+123, -1.15776e+123, 3.2681e+123
cnf/sundermann/systems_software/cerfpda/Berger2013.cnf, 10000, 4.45981e+128, -2.46958e+128, 1.13892e+129
cnf/sundermann/systems_software/cerfpda/Knüppel2017.cnf, 10000, 4.72024e+126, -1.16419e+126, 1.06047e+127
cnf/sundermann/systems_software/jtst/Berger2013.cnf, 10000, 1.45113e+122, -7.06804e+121, 3.60906e+122
cnf/sundermann/systems_software/jtst/Knüppel2017.cnf, 10000, 5.90669e+123, -3.034e+122, 1.21168e+124
cnf/sundermann/systems_software/edosk2674/Berger2013.cnf, 10000, 4.76958e+119, 6.89776e+118, 8.84939e+119
cnf/sundermann/systems_software/edosk2674/Knüppel2017.cnf, 10000, 8.39381e+118, -3.06472e+118, 1.98523e+119
cnf/sundermann/systems_software/ec555/Berger2013.cnf, 10000, 3.14008e+132, -9.44767e+131, 7.22493e+132
cnf/sundermann/systems_software/ec555/Knüppel2017.cnf, 10000, 2.43243e+132, -9.06601e+130, 4.95552e+132
cnf/sundermann/systems_software/sa1100mm/Knüppel2017.cnf, 10000, 3.48091e+121, -1.87722e+121, 8.83903e+121
cnf/sundermann/systems_software/vrc4375/Berger2013.cnf, 10000, 1.53805e+133, -1.01338e+133, 4.08947e+133
cnf/sundermann/systems_software/vrc4375/Knüppel2017.cnf, 10000, 3.8026e+133, -3.48058e+133, 1.10858e+134
cnf/sundermann/systems_software/Fiasco/Berger2013.cnf, 10000, 3.48526e+14, 3.10143e+14, 3.86908e+14
cnf/sundermann/systems_software/Fiasco/Pett2023-2020-12-01_14-09-14.cnf, 10000, 4.21418e+08, 3.50275e+08, 4.9256e+08
cnf/sundermann/systems_software/Fiasco/Oh2020-17_10.cnf, 10000, 1.00702e+10, 9.59502e+09, 1.05454e+10
cnf/sundermann/systems_software/calm16_ceb/Berger2013.cnf, 10000, 8.47807e+117, 2.66208e+117, 1.42941e+118
cnf/sundermann/systems_software/calm16_ceb/Knüppel2017.cnf, 10000, 8.26791e+118, -2.98103e+118, 1.95168e+119
cnf/sundermann/systems_software/uE250/Berger2013.cnf, 10000, 2.14753e+124, 1.13171e+123, 4.18189e+124
cnf/sundermann/systems_software/uE250/Knüppel2017.cnf, 10000, 3.79897e+124, -1.24464e+124, 8.84258e+124
cnf/sundermann/systems_software/cma230/Berger2013.cnf, 10000, 1.57862e+121, 3.16668e+120, 2.84058e+121
cnf/sundermann/systems_software/cma230/Knüppel2017.cnf, 10000, 2.13719e+122, -1.27068e+122, 5.54507e+122
cnf/sundermann/systems_software/mb93091/Berger2013.cnf, 10000, 3.62306e+130, -1.48071e+130, 8.72683e+130
cnf/sundermann/systems_software/mb93091/Knüppel2017.cnf, 10000, 1.46783e+131, -5.46767e+130, 3.48243e+131
cnf/sundermann/systems_software/at91sam7sek/Berger2013.cnf, 10000, 2.4296e+127, -1.83192e+127, 6.69111e+127
cnf/sundermann/systems_software/at91sam7sek/Knüppel2017.cnf, 10000, 1.11694e+128, -1.20666e+128, 3.44054e+128
cnf/sundermann/systems_software/ixdp425/Berger2013.cnf, 10000, 1.18406e+127, -3.22764e+126, 2.69088e+127
cnf/sundermann/systems_software/ixdp425/Knüppel2017.cnf, 10000, 3.07335e+125, 1.43727e+124, 6.00298e+125
cnf/sundermann/systems_software/se77x9/Berger2013.cnf, 10000, 2.37535e+134, -6.02386e+133, 5.35308e+134
cnf/sundermann/systems_software/se77x9/Knüppel2017.cnf, 10000, 2.61277e+134, -2.19319e+134, 7.41872e+134
cnf/sundermann/systems_software/vads/Berger2013.cnf, 10000, 1.11758e+125, -2.92881e+124, 2.52803e+125
cnf/sundermann/systems_software/vads/Knüppel2017.cnf, 10000, 1.77805e+125, -2.3606e+124, 3.79217e+125
cnf/sundermann/systems_software/axTLS/Berger2013.cnf, 10000, 4.30107e+20, 4.19682e+20, 4.40532e+20
cnf/sundermann/systems_software/ceb_v850/Berger2013.cnf, 10000, 3.06183e+120, -3.50449e+120, 9.62816e+120
cnf/sundermann/systems_software/ceb_v850/Knüppel2017.cnf, 10000, 4.15356e+119, 4.47353e+118, 7.85976e+119
cnf/sundermann/systems_software/excalibur_arm9/Berger2013.cnf, 10000, 5.84084e+123, -1.18615e+123, 1.28678e+124
cnf/sundermann/systems_software/excalibur_arm9/Knüppel2017.cnf, 10000, 1.05229e+123, 3.28542e+122, 1.77603e+123
cnf/sundermann/systems_software/pid/Berger2013.cnf, 10000, 2.68751e+123, 5.07624e+122, 4.86739e+123
cnf/sundermann/systems_software/pid/Knüppel2017.cnf, 10000, 3.70669e+123, -2.83034e+123, 1.02437e+124
cnf/sundermann/systems_software/dreamcast/Berger2013.cnf, 10000, 2.15306e+122, -1.29221e+122, 5.59832e+122
cnf/sundermann/systems_software/dreamcast/Knüppel2017.cnf, 10000, 2.63272e+122, -2.36304e+122, 7.62848e+122
cnf/sundermann/systems_software/eb40a/Knüppel2017.cnf, 10000, 7.82288e+123, -3.98782e+122, 1.60445e+124
cnf/sundermann/systems_software/atlas_mips32_4kc/Berger2013.cnf, 10000, 1.09451e+123, 2.39155e+121, 2.1651e+123
cnf/sundermann/systems_software/atlas_mips32_4kc/Knüppel2017.cnf, 10000, 6.36664e+122, -1.94347e+122, 1.46767e+123
cnf/sundermann/systems_software/ebsa285/Berger2013.cnf, 10000, 5.02823e+125, 3.60045e+124, 9.69641e+125
